"stock1","stock2","dead1","dead2"
0,0,9,8
0,0,14,17
0,0,10,10
190,66,50,50
0,0,29,32
0,0,27,24
87,108,50,50
0,0,2,2
0,0,49,48
84,128,50,50
0,0,14,12
0,0,10,13
0,0,16,12
0,0,23,23
71,80,50,50
0,0,19,16
0,0,3,3
0,0,19,22
0,0,4,2
0,0,22,22
0,0,32,31
0,0,30,26
0,0,23,23
358,111,50,50
0,0,13,11
0,0,20,17
0,0,9,11
0,0,16,9
187,64,50,50
0,0,2,3
222,172,50,50
74,170,50,50
0,0,10,9
0,0,17,14
0,0,13,9
120,85,50,50
0,0,3,2
0,0,48,46
0,0,23,25
0,0,35,33
0,0,41,37
0,0,2,3
0,0,13,13
0,0,44,43
0,0,30,31
0,0,7,7
0,0,12,10
0,0,25,24
192,68,50,50
102,178,50,50
0,0,36,30
0,0,10,11
136,74,50,50
269,152,50,50
89,77,50,50
0,0,29,30
0,0,13,11
0,0,24,22
0,0,5,7
335,64,50,50
0,0,4,2
99,402,50,50
0,0,17,15
99,140,50,50
0,0,37,38
0,0,7,6
0,0,8,9
0,0,18,17
101,105,50,50
161,108,50,50
68,98,50,50
0,0,24,26
338,86,50,50
0,0,11,11
0,0,11,14
87,67,50,50
132,90,50,50
0,0,7,8
0,0,30,30
0,0,3,2
0,0,16,13
133,154,50,50
0,0,4,5
0,0,30,27
0,0,15,14
0,0,19,19
0,0,11,14
64,115,50,50
56,0,50,50
168,79,50,50
131,74,50,50
0,0,37,31
190,67,50,50
85,187,50,50
252,64,50,50
119,64,50,42
197,64,50,50
99,130,50,50
0,0,23,22
94,92,50,50
0,0,35,36
0,0,13,15
0,0,2,2
0,0,39,34
0,0,28,30
0,0,18,14
0,0,17,15
71,96,50,50
0,0,18,17
0,0,28,22
0,0,6,8
294,64,50,50
0,0,10,14
0,0,48,46
167,89,50,50
0,0,12,10
0,0,24,23
0,0,19,17
0,0,8,4
0,0,13,12
0,0,18,18
0,0,15,16
0,0,8,6
0,0,13,10
68,119,50,22
68,88,50,50
0,0,15,14
0,0,36,36
149,55,50,50
0,0,46,47
0,0,11,12
0,0,36,35
0,0,8,6
0,0,11,9
0,0,5,6
0,0,46,45
0,0,45,41
64,218,50,50
0,0,6,7
0,0,2,2
0,0,14,13
0,0,2,3
0,0,22,20
0,0,30,30
0,0,26,28
0,0,23,24
0,0,22,22
0,0,23,21
202,80,50,50
118,129,50,50
0,0,25,27
210,74,50,50
0,0,3,6
0,0,16,16
0,0,19,16
153,64,50,50
0,0,26,26
117,83,50,50
0,0,36,37
120,116,50,50
206,5,50,48
364,95,50,50
78,82,50,50
0,0,47,49
132,125,50,50
84,64,50,50
0,0,12,9
0,0,21,20
0,0,6,6
0,0,27,29
0,0,13,12
174,142,50,50
0,0,25,24
64,97,50,50
0,0,14,14
94,203,50,50
0,0,23,20
0,0,8,9
64,74,50,50
0,0,11,10
165,153,50,50
0,0,14,15
0,0,9,12
0,0,15,13
0,0,27,25
0,0,9,7
0,0,32,32
78,99,50,50
0,0,20,22
0,0,6,3
77,72,50,50
151,106,50,50
0,0,8,7
0,0,12,11
96,112,50,50
0,0,41,36
0,0,41,41
93,108,50,50
0,0,10,8
0,0,12,14
0,0,21,17
0,0,8,10
0,0,13,14
0,0,41,40
0,0,38,37
0,0,8,8
0,0,12,14
0,0,46,45
0,0,18,18
0,0,20,19
0,0,5,6
0,0,20,17
0,0,46,50
0,0,30,27
0,0,12,13
0,0,3,2
186,83,50,50
0,0,16,10
0,0,35,34
90,68,50,50
0,0,13,10
0,0,7,4
0,0,11,9
125,116,50,50
0,0,11,8
0,0,17,15
0,0,8,5
0,0,36,33
0,0,24,26
0,0,37,38
0,0,10,14
0,0,23,16
0,0,7,6
0,0,7,7
267,68,50,50
64,0,50,49
109,74,50,50
0,0,47,44
0,0,14,16
71,66,50,50
0,0,9,9
0,0,44,44
0,0,21,21
0,0,12,11
0,0,25,23
0,0,39,39
0,0,10,10
0,0,16,12
0,0,18,20
0,0,17,15
114,76,50,50
171,90,50,50
0,0,2,4
0,0,17,18
0,0,6,2
0,0,20,15
155,99,50,50
66,174,50,50
196,88,50,50
0,0,3,3
0,0,33,27
0,0,14,16
0,0,27,26
0,0,15,14
123,139,50,50
0,0,24,22
0,0,25,21
0,0,26,24
0,0,4,2
0,0,41,41
0,0,8,13
0,0,11,7
0,0,31,25
117,114,50,50
125,201,50,50
0,0,14,17
0,0,28,26
0,0,5,7
147,81,50,50
0,0,20,18
0,0,3,4
0,0,5,6
0,0,22,17
0,0,4,4
0,0,12,14
0,0,25,24
93,127,50,50
0,0,10,12
0,0,9,6
0,0,30,30
0,0,8,6
178,374,50,50
0,0,27,25
94,59,50,50
97,61,50,50
0,0,32,30
0,0,4,3
187,93,50,50
0,0,10,8
0,0,2,2
0,0,44,45
92,77,50,50
163,69,50,50
0,0,16,15
0,0,6,7
131,176,50,50
98,78,50,50
0,0,11,11
64,121,50,50
67,87,50,50
120,76,50,50
0,0,36,36
0,0,3,2
0,0,14,15
0,0,10,10
141,69,50,50
171,107,50,50
0,0,12,11
0,0,12,13
0,0,27,27
