"stock1","stock2","dead1","dead2"
0,0,8,6
0,0,6,2
0,253,3,50
0,0,8,4
0,0,11,11
0,229,8,50
0,0,21,2
0,0,5,9
0,0,21,8
0,131,9,50
0,0,5,2
0,0,7,36
101,0,50,28
232,0,50,6
226,0,50,8
0,76,30,50
0,0,6,4
0,0,29,2
0,155,9,50
0,328,11,50
0,0,42,6
140,0,50,2
0,0,3,9
0,238,5,50
0,0,3,14
0,84,10,50
138,154,50,50
0,0,12,48
0,190,11,50
0,0,3,3
0,0,10,28
0,0,2,9
200,0,50,19
0,0,36,8
0,0,2,16
0,277,7,50
0,76,23,50
101,0,50,23
0,0,29,25
0,0,9,7
0,0,28,2
0,0,27,4
107,0,50,14
0,0,3,2
0,0,7,34
0,0,32,2
0,0,5,2
218,0,50,7
0,0,3,31
0,169,4,50
0,61,5,50
154,0,50,11
197,0,50,39
0,0,14,3
90,0,50,3
75,0,50,46
0,0,22,7
86,0,50,18
0,0,5,5
0,0,15,17
0,177,5,50
0,0,8,2
0,0,31,13
0,0,8,14
0,117,30,50
0,0,5,23
0,141,22,50
186,0,50,18
215,0,50,2
0,0,21,37
0,142,8,50
0,0,9,13
103,0,50,7
0,0,5,7
0,0,6,30
0,0,14,17
195,0,50,8
0,0,4,19
335,0,50,47
0,0,19,16
0,0,9,9
0,0,9,12
0,0,5,6
0,0,2,2
0,0,3,4
107,0,50,8
0,0,41,12
0,0,4,6
0,0,18,9
0,0,12,2
137,0,50,3
0,0,8,3
204,243,50,50
122,0,50,2
0,0,3,2
0,0,4,9
0,0,3,2
171,0,50,6
0,107,5,50
0,0,5,16
0,123,7,50
0,0,16,4
0,0,4,20
0,0,7,5
0,91,6,50
0,0,3,5
0,0,2,6
0,181,5,50
0,0,5,6
0,0,12,6
0,0,4,12
0,0,46,2
0,152,4,50
0,0,10,46
221,0,50,22
0,0,6,5
118,0,50,4
0,0,5,2
0,0,5,45
0,0,8,6
0,168,37,50
130,0,50,3
0,0,17,16
0,0,8,4
152,179,50,50
0,0,12,8
120,0,50,34
0,0,9,22
0,224,11,50
0,142,22,50
0,0,11,13
153,0,50,5
0,0,4,16
0,0,8,3
0,100,2,50
0,0,22,2
0,0,10,11
0,0,5,23
0,0,7,7
189,0,50,33
0,0,4,15
0,0,4,10
155,288,50,50
0,0,5,16
116,0,50,45
70,257,50,50
139,0,50,50
0,0,19,4
0,0,4,6
0,0,3,5
0,0,3,6
0,144,19,50
0,0,3,3
0,228,4,50
0,0,13,37
0,0,17,16
0,0,8,24
0,0,3,11
0,0,4,4
0,0,38,6
0,148,39,50
102,0,50,36
113,0,50,11
0,0,47,14
0,0,50,8
0,0,4,2
0,205,3,50
0,324,43,50
0,0,16,8
0,0,3,2
0,0,11,45
0,0,4,5
89,0,50,7
