"stock1","stock2","dead1","dead2"
113,0,50,6
67,80,50,50
0,0,15,2
0,0,11,20
0,103,6,50
0,0,31,5
0,0,5,24
111,185,50,50
0,0,16,8
0,0,17,25
0,0,22,8
0,0,3,3
93,154,50,50
127,0,50,20
0,0,6,8
0,0,8,14
0,0,34,2
83,0,50,3
336,86,50,50
70,0,50,11
106,0,50,34
0,0,3,2
0,0,13,19
0,0,17,5
0,0,29,30
64,181,50,50
0,0,25,17
0,0,31,29
116,115,50,50
0,0,16,6
82,72,50,50
270,0,50,10
0,0,10,8
0,0,20,2
0,0,27,28
0,0,15,6
229,0,50,11
254,252,50,50
0,0,21,11
126,75,50,50
0,0,17,17
0,0,7,8
0,0,44,29
0,0,21,21
0,0,7,40
0,0,42,10
0,0,23,3
0,0,7,22
0,0,9,9
0,0,3,3
0,0,30,31
81,0,50,14
174,230,50,50
79,102,50,50
0,0,28,32
0,0,8,6
74,70,50,50
0,0,12,4
0,0,12,11
162,136,50,50
0,0,2,2
0,99,2,50
83,107,50,50
0,0,19,18
0,0,36,9
112,0,50,45
0,0,11,15
0,0,19,26
0,0,3,3
0,68,46,50
256,0,50,5
0,0,4,2
0,0,16,7
49,64,50,50
0,83,43,50
0,0,6,21
0,0,7,9
0,0,2,19
0,0,2,4
0,0,3,3
58,0,50,3
0,0,13,12
0,0,29,34
130,147,50,50
0,0,23,21
0,0,11,8
0,0,6,6
0,0,2,4
0,0,2,22
0,0,39,23
64,0,50,50
75,226,50,50
0,0,7,18
139,0,50,4
216,0,50,25
0,0,7,8
0,0,2,4
207,0,50,11
93,202,50,50
147,217,50,50
100,0,50,16
0,0,37,27
96,98,50,50
73,82,50,50
0,0,15,14
91,108,50,50
131,223,50,50
106,0,50,3
0,0,20,6
0,0,2,2
94,105,50,50
207,0,50,8
0,0,16,16
112,0,50,7
0,0,7,7
0,0,6,5
49,0,50,42
127,0,50,30
165,0,50,4
0,0,3,4
0,0,8,16
0,0,13,12
69,119,50,50
149,0,50,25
102,95,50,50
0,0,3,11
0,0,3,2
0,0,11,18
0,128,28,50
0,0,8,9
0,0,27,22
0,41,50,50
0,0,14,7
0,0,4,31
0,0,13,5
0,0,16,8
112,0,50,21
0,0,47,50
261,190,50,50
0,0,32,12
0,0,22,21
0,0,31,27
0,0,10,3
0,0,6,12
0,0,4,3
107,0,50,32
0,0,2,4
0,0,16,10
214,0,50,3
0,0,20,24
0,0,23,19
313,0,50,11
0,0,10,11
0,0,9,10
0,0,7,7
67,106,50,50
119,105,50,50
0,79,20,50
0,0,19,18
88,157,50,50
171,64,50,50
0,0,27,17
68,83,50,50
130,0,50,4
265,0,50,21
67,80,50,50
0,64,50,50
0,0,16,37
225,0,50,45
0,0,3,8
68,194,50,50
0,0,7,23
0,0,42,5
199,0,50,11
0,0,16,16
0,0,16,15
0,133,12,50
241,0,50,15
0,0,4,5
0,0,2,2
165,0,50,11
0,142,8,50
0,0,16,13
0,0,2,6
0,245,3,50
0,0,20,19
0,0,17,14
0,0,35,25
0,0,11,6
131,150,50,50
0,0,11,11
0,0,17,7
0,0,24,16
0,0,34,3
0,0,8,15
0,0,44,3
0,0,17,22
79,0,50,35
118,0,50,4
0,116,18,50
0,0,23,13
0,0,12,12
110,181,50,50
98,0,50,3
64,107,50,50
83,125,50,50
0,0,25,2
172,0,50,4
97,74,50,50
0,0,3,3
0,0,16,13
0,0,3,8
0,0,15,14
0,0,9,6
0,0,2,2
0,0,20,20
0,0,7,2
0,0,40,39
0,0,28,32
99,164,50,50
98,148,50,50
105,157,50,50
0,0,41,40
0,0,4,3
0,169,14,50
80,144,50,50
0,0,13,13
70,120,50,50
74,0,50,30
0,0,12,6
0,0,8,8
0,0,2,13
228,147,50,50
0,0,18,3
0,0,4,2
90,0,50,37
0,0,4,2
0,0,10,2
0,0,25,23
201,0,50,20
0,0,10,8
0,0,10,8
108,179,50,50
0,0,22,18
0,0,14,5
0,0,8,13
153,218,50,50
0,0,30,7
0,0,9,35
0,0,6,4
0,0,6,14
131,0,50,13
0,0,10,10
0,0,28,15
0,0,12,2
0,0,2,15
0,0,4,4
0,0,11,6
102,137,50,50
115,123,50,50
0,0,39,34
177,142,50,50
0,0,5,8
0,0,8,2
0,0,9,9
0,0,12,2
0,0,15,25
0,0,10,6
206,59,50,50
0,0,24,32
0,0,6,5
0,0,36,10
154,0,50,2
164,157,50,50
106,0,50,19
113,104,50,50
0,0,23,16
0,0,31,31
141,134,50,50
0,0,12,4
0,0,43,42
0,0,6,9
139,0,50,5
0,0,43,28
69,72,50,50
0,0,6,6
0,0,9,2
0,113,2,50
0,0,3,31
0,0,36,37
165,89,50,50
0,0,26,30
257,152,50,50
144,0,50,37
0,0,3,19
0,0,8,7
101,91,50,50
0,0,19,8
0,0,21,20
0,87,2,50
0,0,4,6
0,0,6,5
0,0,10,10
70,281,50,50
75,109,50,50
0,0,49,12
138,175,50,50
131,76,50,50
0,0,22,11
0,0,9,5
0,0,15,19
0,0,9,7
0,0,25,13
169,0,50,2
0,0,3,2
0,0,7,8
0,0,9,13
235,0,50,2
0,0,13,18
0,0,13,3
0,0,18,14
0,0,14,20
0,0,3,4
0,0,2,10
260,133,50,50
0,0,10,11
0,0,23,16
104,0,50,12
0,0,38,16
0,0,30,20
0,0,9,3
95,172,50,50
0,0,33,27
0,0,7,2
345,88,50,50
319,0,50,16
0,0,3,9
0,0,46,4
0,0,8,8
0,0,20,2
177,0,50,16
0,0,23,16
0,0,13,3
99,187,50,50
85,130,50,50
114,85,50,50
211,492,50,50
0,0,23,10
0,0,3,17
0,0,21,7
0,0,2,4
0,0,7,7
106,74,50,50
75,95,50,50
118,81,50,50
0,0,6,2
0,0,8,2
0,0,6,5
0,71,47,50
0,0,6,2
284,0,50,11
146,106,50,50
0,0,3,5
0,0,8,10
0,0,12,7
130,111,50,50
0,0,40,8
194,107,50,50
0,0,4,6
0,0,2,5
0,0,28,20
137,0,50,27
136,0,50,2
110,72,50,50
0,198,2,50
127,0,50,29
75,169,50,50
66,137,50,50
0,0,11,7
0,0,2,2
0,0,17,14
0,0,2,7
0,0,41,41
135,228,50,50
0,0,26,24
0,0,11,10
0,0,3,22
0,0,30,2
179,0,50,37
0,0,24,6
0,0,7,7
0,0,14,6
82,149,50,50
0,0,2,2
0,0,26,17
0,0,29,26
0,206,12,50
0,0,5,4
0,0,6,3
0,0,12,12
0,0,25,18
0,0,3,6
0,0,4,3
0,0,3,2
0,0,26,13
0,0,36,35
84,0,50,47
0,0,34,37
0,0,13,10
0,0,2,5
0,97,32,50
0,0,21,6
101,88,50,50
64,79,50,50
0,0,6,2
0,0,19,3
0,0,17,17
66,150,50,50
0,0,3,11
0,0,8,15
0,0,10,5
110,67,50,50
124,0,50,11
87,116,50,50
0,139,3,50
101,111,50,50
112,0,50,4
0,0,28,9
0,0,5,7
0,0,14,13
0,0,32,36
110,0,50,11
146,0,50,3
0,0,15,2
0,0,21,18
0,0,17,17
0,0,35,29
0,0,17,11
128,151,50,50
0,0,10,12
277,144,50,50
0,0,8,9
118,334,50,50
0,91,9,50
0,0,34,22
169,0,50,26
0,0,16,3
134,117,50,50
0,0,6,3
0,0,6,6
0,113,32,50
0,0,36,36
97,308,50,50
0,0,40,12
0,0,29,17
0,0,18,18
75,84,50,50
0,0,9,9
68,287,50,50
0,0,30,3
91,82,50,50
0,126,11,50
75,0,50,40
102,0,50,10
0,0,14,13
183,145,50,50
0,0,23,10
183,0,50,41
0,0,8,11
0,0,8,21
339,124,50,50
0,0,16,15
0,0,6,5
0,0,24,13
0,0,8,27
0,0,6,49
156,67,50,50
0,0,2,4
145,0,50,4
313,0,50,24
0,0,9,9
0,243,2,50
0,0,17,16
0,0,18,12
0,0,15,3
0,0,42,42
167,87,50,50
110,0,50,21
0,0,47,35
0,0,4,3
75,200,50,50
0,0,9,9
0,0,8,11
0,0,25,23
94,0,50,49
0,0,7,6
0,0,23,35
0,0,14,13
81,0,50,33
262,0,50,3
0,0,4,5
178,0,50,8
0,0,8,8
0,0,14,11
0,0,3,4
64,267,50,50
64,70,50,50
0,0,41,5
0,0,11,3
117,102,50,50
159,0,50,7
0,0,11,3
0,0,2,2
0,0,4,4
125,110,50,50
0,0,40,12
117,0,50,20
0,0,19,18
0,0,19,31
0,0,5,4
0,0,2,11
0,0,14,11
0,0,16,8
75,0,50,14
72,84,50,50
0,0,12,12
0,170,3,50
0,0,12,3
0,67,2,50
248,75,50,50
136,70,50,50
0,0,12,14
0,0,2,41
140,79,50,50
0,0,6,10
0,0,6,4
183,0,50,27
0,74,25,50
139,0,50,2
0,0,26,29
195,78,50,50
0,0,24,2
0,0,15,10
130,0,50,42
116,321,50,50
0,0,6,2
0,0,19,19
235,0,50,3
0,0,40,35
0,0,5,4
64,175,50,50
149,0,50,16
0,100,36,50
0,0,6,5
0,0,23,20
146,141,50,50
0,0,18,5
0,0,30,37
0,0,35,10
0,0,23,19
0,0,12,13
85,0,50,24
194,0,50,24
0,0,28,34
236,0,50,2
80,0,50,4
0,0,11,5
191,173,50,50
0,0,9,7
330,0,50,3
0,0,13,13
355,129,50,50
0,0,4,2
0,0,20,16
0,0,5,45
0,0,5,4
0,0,41,4
0,91,32,50
0,0,4,4
182,199,50,50
0,0,10,8
108,0,50,8
0,0,2,5
138,215,50,50
0,0,15,9
0,0,8,2
100,0,50,7
0,0,5,26
0,0,3,9
0,0,13,18
111,70,50,50
0,0,48,16
0,0,2,8
81,101,50,50
0,0,26,6
81,0,50,14
0,0,17,9
0,0,46,36
70,0,50,12
0,0,15,18
0,0,30,19
0,0,4,33
0,0,11,13
0,0,6,14
203,0,50,34
166,128,50,50
0,0,3,16
0,0,8,8
0,0,37,40
0,0,21,45
0,0,36,35
0,0,36,3
0,0,10,8
0,0,5,5
0,0,12,28
0,0,7,7
68,136,50,50
186,227,50,50
0,0,17,14
0,0,4,5
66,143,50,50
0,0,15,11
0,0,3,28
127,0,50,13
149,0,50,16
0,0,25,15
0,0,36,33
0,0,10,15
0,0,5,2
0,0,11,4
0,120,3,50
79,209,50,50
89,214,50,50
0,0,18,5
0,0,23,14
0,0,9,2
202,104,50,50
0,49,44,50
89,86,50,50
155,0,50,13
76,87,50,50
0,0,8,7
0,0,4,6
0,0,47,37
0,0,24,20
0,0,14,18
73,0,50,18
45,64,50,50
0,180,15,50
119,0,50,37
0,0,2,39
0,0,6,6
0,0,2,2
0,0,13,14
0,0,7,16
0,0,22,20
90,88,50,50
0,0,16,5
175,133,50,50
0,0,2,3
0,0,33,22
168,92,50,50
0,0,6,17
0,0,8,8
77,0,50,2
226,116,50,50
294,0,50,8
0,0,2,3
0,0,5,2
117,0,50,13
0,0,20,12
145,89,50,50
0,0,38,39
141,0,50,27
0,0,13,18
106,70,50,50
74,43,50,50
0,0,32,38
105,87,50,50
108,0,50,34
0,112,8,50
77,82,50,50
92,80,50,50
0,159,10,50
0,0,10,10
103,105,50,50
0,0,2,4
0,0,3,4
69,104,50,50
291,111,50,50
0,0,25,7
0,0,33,48
108,0,50,6
0,0,8,5
0,0,16,11
0,0,4,2
0,0,15,16
0,0,30,22
70,113,50,50
0,0,2,2
0,0,21,17
0,0,11,5
0,0,3,12
107,0,50,24
0,0,47,46
102,203,50,50
0,0,10,3
0,68,5,50
0,0,28,4
0,0,32,33
0,0,24,7
92,95,50,50
0,0,3,5
0,146,28,50
236,0,50,44
0,0,23,18
0,0,5,5
0,134,11,50
135,190,50,50
68,67,50,50
77,94,50,50
0,0,30,33
0,0,39,35
0,0,2,31
0,0,2,3
0,0,2,3
0,94,3,50
218,100,50,50
0,0,28,3
119,112,50,50
70,267,50,50
0,0,7,6
75,0,50,4
239,114,50,50
0,0,18,10
0,0,27,25
0,0,16,2
260,0,50,13
0,0,14,18
96,71,50,50
0,152,26,50
73,0,50,49
0,0,22,22
0,0,3,31
0,62,50,50
0,0,6,5
0,0,3,7
97,64,50,50
0,259,2,50
0,0,33,4
0,0,27,16
0,0,7,6
0,0,22,12
125,164,50,50
108,109,50,50
0,0,11,5
0,0,18,8
0,100,13,50
127,209,50,50
0,0,5,4
0,0,6,5
0,0,25,45
0,0,3,2
0,0,13,4
0,0,18,3
0,0,25,24
235,202,50,50
0,0,17,18
0,0,32,3
0,0,2,19
0,0,9,6
0,0,38,28
0,0,14,25
103,467,50,50
82,399,50,50
0,0,3,4
0,0,35,18
0,0,6,5
0,0,31,32
0,0,25,3
0,223,10,50
0,0,5,6
0,0,3,3
0,82,2,50
0,0,9,25
0,0,49,23
0,0,3,19
0,0,26,16
0,0,5,4
205,99,50,50
0,0,19,2
0,0,4,4
216,0,50,12
111,0,50,4
0,0,6,5
74,112,50,50
0,0,21,21
119,0,50,29
0,0,5,50
189,0,50,20
125,177,50,50
129,0,50,8
232,152,50,50
0,0,19,2
0,0,8,3
0,0,7,9
174,0,50,16
0,0,6,9
82,0,50,35
0,0,17,16
0,0,2,35
0,0,27,13
0,0,16,3
0,0,27,17
0,0,2,5
157,0,50,10
0,0,4,8
142,0,50,38
0,0,2,37
0,0,12,19
0,0,28,27
0,122,29,50
0,0,17,17
0,0,9,7
0,0,6,3
0,0,8,8
0,0,7,2
0,0,14,11
0,106,5,50
105,119,50,50
0,0,14,4
0,0,6,8
67,76,50,50
0,0,8,4
0,0,4,7
0,0,33,28
0,0,44,36
0,0,15,3
258,0,50,9
0,0,50,10
0,0,46,45
0,0,2,2
0,0,3,7
120,195,50,50
144,0,50,6
0,0,6,3
0,0,15,14
0,0,3,30
0,0,3,8
0,0,2,11
0,0,9,4
0,0,24,19
0,0,2,11
0,171,10,50
71,0,50,29
0,0,9,7
193,173,50,50
77,0,50,2
0,0,4,4
127,218,50,50
0,0,42,20
91,75,50,50
0,0,42,10
0,0,7,11
0,0,5,4
0,0,5,4
136,0,50,13
0,0,4,8
0,0,27,6
95,64,50,50
0,0,21,5
82,136,50,50
0,0,21,15
68,112,50,50
0,0,8,2
0,0,12,12
0,0,28,17
71,147,50,50
